name	group	af3_id1	af3_id2	pair_tokens	pair_iptm_mean	string_experimental	string_combined_score	pair_iptm_mean_corrected
pairs_0519482	pairs	aac71573.1	aac71646.1	1157	0.132	0	0	0.020357841620742417
pairs_051c9e4	pairs	aac71360.1	aac71364.1	1043	0.132	0	692	0.027823298071943725
pairs_051f03f	pairs	aac71546.1	aac71612.1	590	0.10799999999999998	0	0	0.03858696263574905
pairs_052c2ca	pairs	aac71360.1	aac71430.1	766	0.10799999999999998	0	0	0.023880096759511554
pairs_054b65a	pairs	aac71326.1	aac72478.1	435	0.712	0	0	0.6574956320478473
pairs_0558563	pairs	aac71287.1	aac71352.1	1188	0.26	0	0	0.1463921440558137
pairs_055b542	pairs	aac71358.1	aac71383.1	1254	0.14400000000000002	0	278	0.02629078574494434
pairs_055e233	pairs	aac71357.1	aac71406.1	1154	0.15000000000000002	0	0	0.03854946050855981
pairs_055e355	pairs	aac71342.1	aac71437.1	1907	0.2	0	0	0.04643390023963137
pairs_0563493	pairs	aac71444.1	aac72485.1	539	0.16199999999999998	0	0	0.09724873440941698
pairs_0578cc3	pairs	aac71231.1	abc59631.1	651	0.166	0	0	0.09126842584679672
pairs_057b364	pairs	aac71390.1	aac71573.1	570	0.164	0	0	0.09639012187745269
pairs_057d72f	pairs	aac71326.1	aac72482.1	744	0.13	183	198	0.047618548636700495
pairs_057dd78	pairs	aac71390.1	aac71508.1	444	0.128	0	0	0.07256351445497429
pairs_05a8a9a	pairs	aac71342.1	aac71474.1	761	0.126	0	0	0.04227298407666734
pairs_05aa105	pairs	aac71579.1	aac71580.1	851	0.11399999999999999	0	0	0.023387311784971804
pairs_05abed7	pairs	aac71237.1	aac71425.1	679	0.122	0	0	0.04491080904897789
pairs_05c0763	pairs	aac71466.1	aac71621.1	391	0.088	0	0	0.0381981861508727
pairs_05ca090	pairs	aac71595.1	aac71613.1	1944	0.18000000000000002	0	0	0.024603117042207745
pairs_05d0e98	pairs	aac71393.1	aac71406.1	622	0.12	0	0	0.0477643358191055
pairs_05d8608	pairs	aac71390.1	abc59632.1	325	0.25	0	187	0.20777989519307444
pairs_05db9aa	pairs	aac71338.1	abc59634.1	1184	0.306	0	0	0.19264432934262318
pairs_05e36fe	pairs	aac71406.1	aac71430.1	732	0.11000000000000001	0	0	0.028577636946187188
pairs_05ec45d	pairs	aac71425.1	aac71431.1	435	0.08600000000000001	0	0	0.031495632047847374
pairs_05ee778	pairs	aac71228.1	aac71508.1	483	0.15	0	0	0.09062948296111263
pairs_05f5d8e	pairs	aac71425.1	aac72485.1	295	0.1	0	0	0.06148047321935425
pairs_05ff5c0	pairs	aac71443.1	aac72482.1	793	0.14200000000000002	0	0	0.055780316092039636
pairs_0611fcc	pairs	aac72473.1	aac72482.1	776	0.524	0	247	0.43909815026334587
pairs_061d4fd	pairs	aac71413.1	aac72473.1	1098	0.338	0	162	0.23017317816437302
pairs_0626f0a	pairs	aac71486.1	aac71636.1	355	0.136	0	0	0.09024652224842263
pairs_066c7cd	pairs	aac71283.1	aac71422.1	1247	0.164	0	0	0.046720577976186756
pairs_068248a	pairs	aac71433.1	aac71613.1	1823	0.2	0	186	0.050657369609841546
pairs_068784a	pairs	aac71273.1	aac71406.1	862	0.14	0	0	0.04857123094057675
pairs_0697494	pairs	aac71279.1	aac71287.1	1588	0.16	0	987	0.023019749232265185
pairs_0699286	pairs	aac71430.1	aac71546.1	501	0.10800000000000001	0	0	0.046867466077849626
pairs_06ade5d	pairs	aac71364.1	aac71591.1	648	0.14400000000000002	0	0	0.06952400999253817
pairs_06b032e	pairs	aac71299.1	aac71390.1	385	0.14200000000000002	761	862	0.09285955018993086
pairs_06b1537	pairs	aac71580.1	aac71609.1	927	0.148	0	0	0.05185172184494094
pairs_06bad5f	pairs	aac71352.1	aac72491.1	549	0.158	0	0	0.09231782572860572
pairs_06c47c6	pairs	aac71228.1	aac71422.1	1068	0.126	0	0	0.020152513532712524
pairs_06cd023	pairs	aac71326.1	aac71595.1	588	0.10200000000000001	0	0	0.03276588904587446
pairs_06d338c	pairs	aac71429.1	aac71541.1	397	0.09	0	0	0.03954187734593789
pairs_06de4a2	pairs	aac71471.1	aac71612.1	682	0.11199999999999999	0	0	0.03466111430677353
pairs_06e4bd1	pairs	aac71459.1	aac71613.1	2060	0.23199999999999998	0	168	0.07097356971102195
pairs_06f0073	pairs	aac71413.1	aac71459.1	1250	0.184	0	765	0.06653623397756553
pairs_06f058d	pairs	aac71364.1	aac71486.1	622	0.122	0	0	0.0497643358191055
pairs_06fa54a	pairs	aac71283.1	aac71299.1	603	0.16399999999999998	0	0	0.09343125889611045
pairs_0702997	pairs	aac71444.1	aac71523.1	748	0.11599999999999999	0	0	0.03330057368383273
pairs_0705c9f	pairs	aac71301.1	aac71335.1	403	0.12	0	0	0.0688905095960354
pairs_070c971	pairs	aac71570.2	aac71621.1	1005	0.136	142	353	0.0344017215926799
pairs_070c988	pairs	aac71383.1	aac71508.1	337	0.07800000000000001	0	0	0.03434775005496227
pairs_070de4f	pairs	aac71319.1	aac71523.1	559	0.10200000000000001	0	0	0.0353953573591126
pairs_070df12	pairs	aac71486.1	aac71591.1	422	0.088	0	0	0.03485921755198955
pairs_071ef82	pairs	aac71459.1	aac71466.1	725	0.10800000000000001	0	0	0.027140738153992747
pairs_072caaf	pairs	aac71287.1	aac71612.1	1144	0.188	0	410	0.07718999564444404
pairs_0732a02	pairs	aac71371.1	abc59632.1	183	0.04	656	673	0.017320821202898892
pairs_0752ef5	pairs	aac71471.1	aac71518.1	584	0.11200000000000002	0	0	0.04312465709538285
pairs_0759807	pairs	aac71518.1	aac71613.1	1754	0.186	0	0	0.040200007516333625
pairs_0759b46	pairs	aac71289.1	aac71341.1	1345	0.194	0	0	0.07080900353164124
pairs_075b697	pairs	aac71283.1	aac71437.1	2271	0.282	0	0	0.1111258819627779
pairs_075d863	pairs	aac71266.1	aac71537.1	520	0.44400000000000006	0	0	0.3810415682428005
pairs_07632f7	pairs	aac71283.1	aac71444.1	877	0.16399999999999998	0	0	0.0714667392602231
pairs_076761c	pairs	aac71326.1	aac71364.1	684	0.262	0	0	0.18449495613538586
pairs_076d9c3	pairs	aac71243.1	aac71351.1	251	0.196	0	0	0.16326711639810143
pairs_077ea75	pairs	aac71425.1	aac71609.1	380	0.136	0	0	0.08741463398327957
pairs_07839be	pairs	aac71351.1	aac71619.1	547	0.186	0	0	0.12050332484320295
pairs_07938c8	pairs	aac71444.1	aac72478.1	586	0.14200000000000002	0	0	0.07294512001225276
pairs_079cb92	pairs	aac71266.1	aac71541.1	401	0.076	0	0	0.02510709004461459
pairs_079d284	pairs	aac71279.1	aac71406.1	1265	0.162	0	527	0.04361781439088283
pairs_07d62f2	pairs	aac71619.1	aac71644.1	593	0.08	0	0	0.010319140682422942
pairs_07d6668	pairs	aac71462.1	aac71644.1	766	0.14800000000000002	0	0	0.06388009675951159
pairs_07d8b58	pairs	aac71380.1	aac71619.1	555	0.088	0	0	0.02176334652912318
pairs_07e2970	pairs	aac71357.1	abc59631.1	631	0.134	0	0	0.0609836312583846
pairs_08246f5	pairs	aac71285.1	aac71437.1	2321	0.21800000000000003	0	0	0.0448602339328045
pairs_083b813	pairs	aac71266.1	aac71576.1	407	0.082	0	0	0.030458954998756824
pairs_0849c70	pairs	aac71252.1	aac71393.1	587	0.144	0	0	0.07485546636231233
pairs_084a625	pairs	aac71311.1	aac71324.2	343	0.078	959	962	0.033641240625907606
pairs_08539e7	pairs	aac71390.1	aac71619.1	695	0.14400000000000002	0	384	0.06558539698348029
pairs_085e45b	pairs	aac71431.1	aac71523.1	605	0.1	0	417	0.029254568225527036
pairs_0863b06	pairs	aac71389.1	aac71579.1	351	0.2	0	0	0.15470877161543162
pairs_086f9fd	pairs	aac71352.1	aac71425.1	447	0.11000000000000001	0	0	0.054254911585591176
pairs_089d57d	pairs	aac71579.1	abc59632.1	214	0.08	0	0	0.05253986078452812
pairs_08a12de	pairs	aac71279.1	aac72461.1	816	0.126	0	0	0.0380196465589195
pairs_08a7afc	pairs	aac71486.1	aac71619.1	645	0.11399999999999999	0	0	0.0397801864561801
pairs_08b8b19	pairs	aac71508.1	aac71644.1	342	0.068	0	0	0.023758560549541785
pairs_08bad05	pairs	aac71266.1	abc59634.1	887	0.11599999999999999	0	0	0.022735651697235376
pairs_08c8377	pairs	aac71266.1	aac71308.1	431	0.7060000000000001	0	0	0.6519130000449144
pairs_08e6248	pairs	aac71437.1	abc59631.1	1867	0.168	0	0	0.0164332191956805
pairs_09247f2	pairs	aac71612.1	aac72478.1	411	0.128	0	0	0.07602951590341044
pairs_0924c4c	pairs	aac71279.1	aac72491.1	949	0.14	0	0	0.042292059196383486
pairs_093dfa0	pairs	aac71252.1	aac71613.1	2166	0.182	0	0	0.015966401019018667
pairs_095378c	pairs	aac71430.1	aac72478.1	322	0.064	0	0	0.02214204413711686
pairs_0966627	pairs	aac71437.1	aac71503.1	2361	0.308	0	0	0.13306523088316935
pairs_0967c35	pairs	aac71413.1	aac71472.1	1048	0.138	0	516	0.03348755254142741
pairs_099bba8	pairs	aac71430.1	aac71619.1	594	0.086	0	0	0.016230017308172695
pairs_09a9c6a	pairs	aac71574.1	aac72455.1	647	0.09	0	0	0.015609336130661886
pairs_09c5741	pairs	aac71237.1	aac71433.1	719	0.16	0	0	0.07962556374183853
pairs_09d2ac4	pairs	aac71369.1	abc59631.1	319	0.057999999999999996	999	999	0.01650588407657795
pairs_09f0925	pairs	aac71282.1	aac71443.1	1640	0.272	0	0	0.13220935263373035
pairs_09f466b	pairs	aac71364.1	aac71475.1	789	0.31	0	0	0.22408911378032845
pairs_09f5fc2	pairs	aac71231.1	aac71471.1	1035	0.118	0	0	0.01436216925747169
pairs_09ff05c	pairs	aac71319.1	aac71444.1	633	0.562	0	0	0.48881089896617735
pairs_0a0f050	pairs	aac71621.1	aac71646.1	945	0.11399999999999999	0	0	0.01657427880665896
pairs_0a1409c	pairs	aac71285.1	aac71371.1	622	0.184	0	0	0.1117643358191055
pairs_0a3be36	pairs	aac71619.1	aac71646.1	1282	0.132	0	0	0.012583497042578218
pairs_0a42381	pairs	aac71319.1	aac72485.1	350	0.092	0	0	0.04682474492292148
pairs_0a484ae	pairs	aac71285.1	aac71471.1	962	0.24800000000000005	0	0	0.14937892950885562
pairs_0a4b12b	pairs	aac71474.1	aac72455.1	902	0.124	0	0	0.029646704436007948
pairs_0a5774b	pairs	aac71282.1	aac71335.1	1545	0.21400000000000002	0	0	0.07937868125838818
pairs_0a5b256	pairs	aac71299.1	aac71609.1	350	0.15	0	0	0.10482474492292147
pairs_0a665aa	pairs	aac71357.1	aac71413.1	1375	0.14400000000000002	0	0	0.019042720289396686
pairs_0a7c82b	pairs	aac71646.1	aac72473.1	1127	0.12	0	0	0.01028536437249955
pairs_0a7c8d1	pairs	aac71380.1	aac71430.1	255	0.064	0	0	0.03072110077777901
pairs_0a8497e	pairs	aac71223.1	aac71319.1	476	0.136	0	0	0.07732356142716293
pairs_0a86dd9	pairs	aac71287.1	aac71393.1	945	0.22599999999999998	0	0	0.12857427880665895
pairs_0a9b4e8	pairs	aac71264.1	aac71503.1	1002	0.162	0	0	0.06060734125019357
pairs_0a9df37	pairs	aac71425.1	aac71570.2	1062	0.15000000000000002	0	0	0.04455170276772416
pairs_0aaa4dc	pairs	aac71413.1	aac71591.1	1030	0.15200000000000002	0	0	0.04870002183477204
pairs_0aaa9c0	pairs	aac71301.1	aac71413.1	995	0.156	0	670	0.055088320805255
pairs_0aab2dd	pairs	aac71486.1	aac72491.1	467	0.11000000000000001	0	0	0.052223491054432705
pairs_0ac87f3	pairs	aac71383.1	aac71443.1	450	0.096	0	261	0.03994734257038356
pairs_0ace2ca	pairs	aac71360.1	aac71413.1	1425	0.182	0	619	0.054141202462232974
pairs_0ad5fbe	pairs	aac71351.1	aac72491.1	369	0.14600000000000002	0	0	0.09864881944941851
pairs_0ad6472	pairs	aac71252.1	aac71541.1	728	0.132	0	0	0.05089907768128629
pairs_0adfc32	pairs	aac71289.1	aac71335.1	1088	0.15000000000000002	0	0	0.042829917454073496
pairs_0b06dfb	pairs	aac71386.1	aac72485.1	339	0.5919999999999999	0	265	0.5481115532250159
pairs_0b1207d	pairs	aac71223.1	aac72491.1	523	0.348	0	0	0.2847563373959807
pairs_0b269ad	pairs	aac71279.1	aac71383.1	821	0.20400000000000001	0	0	0.11564018908369152
pairs_0b30517	pairs	aac71474.1	aac71487.1	937	0.124	0	0	0.027140515618515215
pairs_0b35a50	pairs	aac71341.1	aac71621.1	581	0.188	0	0	0.11939454013552589
pairs_0b3a919	pairs	aac71433.1	aac71443.1	516	0.18000000000000002	0	0	0.11742315901562915
pairs_0b4d54b	pairs	aac71285.1	aac71352.1	796	0.134	0	0	0.047549228598925034
pairs_0b5895c	pairs	aac71252.1	aac71264.1	996	0.14200000000000002	0	495	0.04101950608870386
pairs_0b66127	pairs	aac71523.1	aac71619.1	784	0.132	0	0	0.04647621374634836
pairs_0b6ff5a	pairs	aac71287.1	aac71574.1	1312	0.202	0	0	0.08077482230829308
pairs_0b70783	pairs	aac71342.1	aac71386.1	313	0.11200000000000002	396	409	0.07123873315480678
pairs_0b85132	pairs	aac71308.1	aac71406.1	793	0.14600000000000002	0	0	0.05978031609203964
pairs_0b9d907	pairs	aac71311.1	aac71573.1	472	0.28	0	0	0.22172247033168632
pairs_0baade3	pairs	aac71431.1	aac71515.1	742	0.15	0	0	0.0677778566534132
pairs_0bbd279	pairs	aac71573.1	aac71609.1	535	0.262	0	0	0.19762351366595188
pairs_0be69e5	pairs	aac71341.1	aac71444.1	882	0.156	0	0	0.06310067741469275
pairs_0c3027f	pairs	aac71237.1	aac72455.1	755	0.10200000000000001	0	155	0.018746156517338755
pairs_0c45281	pairs	aac71636.1	aac71646.1	992	0.13	0	0	0.02929497269761991
pairs_0c5179b	pairs	aac71237.1	aac71393.1	549	0.144	0	0	0.07831782572860571
pairs_0c5d096	pairs	aac71264.1	aac71357.1	1015	0.126	0	0	0.023718529883466954
pairs_0c7c907	pairs	aac71369.1	aac72485.1	385	0.6260000000000001	0	513	0.576859550189931
pairs_0c7cf13	pairs	aac71352.1	aac71393.1	317	0.576	0	0	0.5347493952628357
pairs_0c9e4b4	pairs	aac71279.1	aac71621.1	790	0.11599999999999999	0	0	0.0300118411139276
pairs_0cae1a6	pairs	aac71243.1	aac71252.1	701	0.132	0	258	0.053092306653386545
pairs_0cbeecc	pairs	aac71351.1	aac72485.1	228	0.192	0	0	0.16249488426065956
pairs_0cc3dac	pairs	aac71342.1	aac71360.1	721	0.174	0	0	0.09346373122215867
pairs_0ccb096	pairs	aac71243.1	aac71619.1	598	0.20400000000000001	0	0	0.13387427180700806
pairs_0cd976e	pairs	aac71360.1	aac71486.1	817	0.178	0	0	0.08994366225843967
pairs_0cde6e6	pairs	aac71429.1	abc59634.1	883	0.14	0	0	0.047027589662696545
pairs_0cdfeae	pairs	aac71541.1	aac72455.1	421	0.10200000000000001	0	0	0.048964973117218355
pairs_0ce8efa	pairs	aac71425.1	aac71508.1	363	0.096	0	0	0.0493297711345322
pairs_0d09671	pairs	aac71289.1	aac71472.1	1116	0.14600000000000002	0	0	0.03699853967611755
pairs_0d1e332	pairs	aac71228.1	aac71357.1	856	0.11200000000000002	0	0	0.021015716109445637
pairs_0d24994	pairs	aac71287.1	aac71523.1	1245	0.132	0	653	0.014843597191723262
pairs_0d40410	pairs	aac71308.1	aac71311.1	358	0.05600000000000001	999	999	0.009901541871351463
pairs_0d476ba	pairs	aac71515.1	aac71609.1	687	0.184	0	0	0.10624617369196894
pairs_0d4fd21	pairs	aac71237.1	aac71386.1	723	0.16	230	286	0.07930212300289882
pairs_0d51582	pairs	aac71299.1	aac72485.1	265	0.07	0	392	0.03537451088903437
pairs_0d5bab1	pairs	aac71425.1	aac71503.1	723	0.244	0	602	0.1633021230028988
pairs_0d6680d	pairs	aac71429.1	aac71459.1	663	0.17	0	0	0.09425193134748569
pairs_0d6941b	pairs	aac71595.1	aac71646.1	1163	0.13	0	0	0.017975347677346487
pairs_0d69991	pairs	aac71472.1	aac71613.1	1858	0.236	0	0	0.08488600898998364
pairs_0d8cf32	pairs	aac71351.1	aac71518.1	238	0.134	0	0	0.10307239503164227
pairs_0d8e629	pairs	aac71515.1	aac71612.1	710	0.156	0	0	0.07635661106311555
pairs_0d91cc9	pairs	aac71503.1	aac71518.1	694	0.21799999999999997	0	0	0.13966778534138224
pairs_0d97b63	pairs	aac71364.1	aac71515.1	898	0.15	0	0	0.05593619935688324
pairs_0db13cf	pairs	aac71289.1	aac71537.1	1171	0.172	0	177	0.05946688727054042
pairs_0dc4125	pairs	aac71579.1	aac72461.1	273	0.118	0	0	0.08231543325787628
pairs_0debcd8	pairs	aac71289.1	aac71360.1	1493	0.14800000000000002	0	0	0.016275639979638518
pairs_0dede61	pairs	aac71223.1	aac71231.1	843	0.122	0	183	0.031984142872461846
pairs_0def9b3	pairs	aac71338.1	aac71386.1	731	0.10800000000000001	0	0	0.026657914624514084
pairs_0df1e71	pairs	aac71377.1	aac71508.1	396	0.126	0	0	0.07565091598801608
pairs_0e17f73	pairs	aac71471.1	aac71570.2	1341	0.164	387	700	0.04104599027294836
pairs_0e1d92d	pairs	aac71324.2	aac71383.1	334	0.7959999999999999	959	959	0.7527033633763957
pairs_0e2b9b6	pairs	aac71523.1	aac71609.1	550	0.10400000000000001	939	967	0.038225202878536715
pairs_0e348cd	pairs	aac71264.1	aac72491.1	715	0.10800000000000001	0	235	0.0279499054351475
pairs_0e43f5f	pairs	aac71279.1	aac71430.1	827	0.11000000000000001	0	0	0.021186362106981618
pairs_0e44cc3	pairs	aac71595.1	aac71612.1	564	0.476	0	0	0.40893721743026845
pairs_0e50f1e	pairs	aac71319.1	aac71609.1	435	0.10400000000000001	0	0	0.04949563204784738
pairs_0e72cc4	pairs	aac71311.1	aac71462.1	770	0.124	0	0	0.03956670924261775
pairs_0e7747b	pairs	aac71422.1	aac71444.1	1192	0.198	0	0	0.08414038296719159
pairs_0e7bd37	pairs	aac71228.1	aac71335.1	501	0.12	0	0	0.05886746607784961
pairs_0e8b22f	pairs	aac71342.1	aac72461.1	238	0.08800000000000001	0	0	0.05707239503164227
pairs_0ecf31d	pairs	aac71433.1	aac72482.1	691	0.124	0	355	0.04591530720396181
pairs_0f03b45	pairs	aac71351.1	aac71466.1	381	0.46399999999999997	0	0	0.4153033264118889
pairs_0f1170b	pairs	aac71231.1	aac71341.1	1060	0.152	0	0	0.04668501631845812
pairs_0f21453	pairs	aac71223.1	aac71518.1	392	0.5199999999999999	0	0	0.47008845342966527
pairs_0f2163c	pairs	aac71508.1	aac72478.1	371	0.1	0	0	0.05242306751830737
pairs_0f336c4	pairs	aac71429.1	aac71444.1	630	0.62	0	0	0.5470701000584989
