name	group	pool_nchains	pool_size	chain_ids	fraction_disordered	has_clash	iptm	ptm	ranking_score	chain_iptm	chain_pair_iptm	chain_pair_pae_min	chain_ptm	model0_fraction_disordered	model0_has_clash	model0_iptm	model0_ptm	model0_ranking_score	model0_chain_iptm	model0_chain_pair_iptm	model0_chain_pair_pae_min	model0_chain_ptm	model1_fraction_disordered	model1_has_clash	model1_iptm	model1_ptm	model1_ranking_score	model1_chain_iptm	model1_chain_pair_iptm	model1_chain_pair_pae_min	model1_chain_ptm	model2_fraction_disordered	model2_has_clash	model2_iptm	model2_ptm	model2_ranking_score	model2_chain_iptm	model2_chain_pair_iptm	model2_chain_pair_pae_min	model2_chain_ptm	model3_fraction_disordered	model3_has_clash	model3_iptm	model3_ptm	model3_ranking_score	model3_chain_iptm	model3_chain_pair_iptm	model3_chain_pair_pae_min	model3_chain_ptm	model4_fraction_disordered	model4_has_clash	model4_iptm	model4_ptm	model4_ranking_score	model4_chain_iptm	model4_chain_pair_iptm	model4_chain_pair_pae_min	model4_chain_ptm
pairs_00c6199	pairs	2	820	aac71377.1_aac71462.1	0.17	0.0	0.22	0.63	0.38	[0.22, 0.22]	[[0.35, 0.22], [0.22, 0.76]]	[[0.76, 12.76], [13.91, 0.76]]	[0.35, 0.76]	0.16	0.0	0.21	0.62	0.37	[0.21, 0.21]	[[0.34, 0.21], [0.21, 0.76]]	[[0.76, 13.09], [13.85, 0.76]]	[0.34, 0.76]	0.16	0.0	0.13	0.62	0.3	[0.13, 0.13]	[[0.32, 0.13], [0.13, 0.76]]	[[0.76, 24.96], [25.22, 0.76]]	[0.32, 0.76]	0.17	0.0	0.22	0.63	0.38	[0.22, 0.22]	[[0.35, 0.22], [0.22, 0.76]]	[[0.76, 12.76], [13.91, 0.76]]	[0.35, 0.76]	0.16	0.0	0.21	0.62	0.37	[0.21, 0.21]	[[0.34, 0.21], [0.21, 0.76]]	[[0.76, 12.91], [14.38, 0.76]]	[0.34, 0.76]	0.17	0.0	0.21	0.63	0.38	[0.21, 0.21]	[[0.34, 0.21], [0.21, 0.76]]	[[0.76, 13.05], [15.09, 0.76]]	[0.34, 0.76]
pairs_00e4120	pairs	2	446	aac71319.1_aac71591.1	0.14	0.0	0.11	0.46	0.25	[0.11, 0.11]	[[0.77, 0.11], [0.11, 0.58]]	[[0.76, 22.56], [21.97, 0.76]]	[0.77, 0.58]	0.15	0.0	0.09	0.45	0.23	[0.09, 0.09]	[[0.74, 0.09], [0.09, 0.57]]	[[0.76, 23.38], [24.36, 0.76]]	[0.74, 0.57]	0.15	0.0	0.08	0.44	0.23	[0.08, 0.08]	[[0.75, 0.08], [0.08, 0.58]]	[[0.76, 25.42], [24.81, 0.76]]	[0.75, 0.58]	0.11	0.0	0.08	0.44	0.21	[0.08, 0.08]	[[0.73, 0.08], [0.08, 0.58]]	[[0.76, 26.96], [27.08, 0.76]]	[0.73, 0.58]	0.16	0.0	0.07	0.45	0.23	[0.07, 0.07]	[[0.76, 0.07], [0.07, 0.58]]	[[0.76, 26.92], [27.62, 0.76]]	[0.76, 0.58]	0.14	0.0	0.11	0.46	0.25	[0.11, 0.11]	[[0.77, 0.11], [0.11, 0.58]]	[[0.76, 22.56], [21.97, 0.76]]	[0.77, 0.58]
pairs_00f1d21	pairs	2	511	aac71429.1_aac72473.1	0.17	0.0	0.14	0.48	0.3	[0.14, 0.14]	[[0.34, 0.14], [0.14, 0.71]]	[[0.76, 18.0], [17.75, 0.76]]	[0.34, 0.71]	0.17	0.0	0.14	0.48	0.3	[0.14, 0.14]	[[0.34, 0.14], [0.14, 0.71]]	[[0.76, 18.0], [17.75, 0.76]]	[0.34, 0.71]	0.13	0.0	0.13	0.48	0.27	[0.13, 0.13]	[[0.32, 0.13], [0.13, 0.72]]	[[0.76, 19.72], [19.55, 0.76]]	[0.32, 0.72]	0.09	0.0	0.13	0.48	0.25	[0.13, 0.13]	[[0.32, 0.13], [0.13, 0.71]]	[[0.76, 19.86], [20.77, 0.76]]	[0.32, 0.71]	0.08	0.0	0.13	0.48	0.23	[0.13, 0.13]	[[0.32, 0.13], [0.13, 0.72]]	[[0.76, 17.04], [19.83, 0.76]]	[0.32, 0.72]	0.14	0.0	0.13	0.47	0.27	[0.13, 0.13]	[[0.29, 0.13], [0.13, 0.71]]	[[0.76, 20.03], [22.01, 0.76]]	[0.29, 0.71]
pairs_00f5def	pairs	2	755	aac71264.1_aac71443.1	0.02	0.0	0.15	0.45	0.22	[0.15, 0.15]	[[0.6, 0.15], [0.15, 0.86]]	[[0.76, 19.47], [19.66, 0.76]]	[0.6, 0.86]	0.02	0.0	0.15	0.45	0.22	[0.15, 0.15]	[[0.6, 0.15], [0.15, 0.86]]	[[0.76, 19.47], [19.66, 0.76]]	[0.6, 0.86]	0.0	0.0	0.13	0.44	0.19	[0.13, 0.13]	[[0.6, 0.13], [0.13, 0.85]]	[[0.76, 21.19], [19.7, 0.76]]	[0.6, 0.85]	0.02	0.0	0.14	0.45	0.21	[0.14, 0.14]	[[0.6, 0.14], [0.14, 0.85]]	[[0.76, 19.74], [19.4, 0.76]]	[0.6, 0.85]	0.01	0.0	0.13	0.45	0.2	[0.13, 0.13]	[[0.59, 0.13], [0.13, 0.85]]	[[0.76, 20.17], [18.71, 0.76]]	[0.59, 0.85]	0.01	0.0	0.11	0.44	0.18	[0.11, 0.11]	[[0.59, 0.11], [0.11, 0.85]]	[[0.76, 22.55], [21.32, 0.76]]	[0.59, 0.85]
pairs_00f9dad	pairs	2	885	aac71444.1_aac71515.1	0.05	0.0	0.19	0.51	0.28	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.73]]	[[0.76, 20.71], [18.78, 0.76]]	[0.7, 0.73]	0.04	0.0	0.15	0.49	0.24	[0.15, 0.15]	[[0.71, 0.15], [0.15, 0.73]]	[[0.76, 24.61], [21.43, 0.76]]	[0.71, 0.73]	0.02	0.0	0.14	0.49	0.22	[0.14, 0.14]	[[0.71, 0.14], [0.14, 0.73]]	[[0.76, 26.96], [22.44, 0.76]]	[0.71, 0.73]	0.05	0.0	0.19	0.51	0.28	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.73]]	[[0.76, 20.71], [18.78, 0.76]]	[0.7, 0.73]	0.05	0.0	0.16	0.5	0.25	[0.16, 0.16]	[[0.7, 0.16], [0.16, 0.74]]	[[0.76, 21.41], [19.78, 0.76]]	[0.7, 0.74]	0.04	0.0	0.13	0.48	0.22	[0.13, 0.13]	[[0.7, 0.13], [0.13, 0.73]]	[[0.76, 24.76], [22.9, 0.76]]	[0.7, 0.73]
pairs_011a1e6	pairs	2	742	aac71319.1_aac71338.1	0.0	0.0	0.17	0.54	0.24	[0.17, 0.17]	[[0.6, 0.17], [0.17, 0.69]]	[[0.76, 23.24], [21.61, 0.76]]	[0.6, 0.69]	0.0	0.0	0.11	0.54	0.19	[0.11, 0.11]	[[0.61, 0.11], [0.11, 0.69]]	[[0.76, 27.77], [27.53, 0.76]]	[0.61, 0.69]	0.0	0.0	0.16	0.54	0.24	[0.16, 0.16]	[[0.6, 0.16], [0.16, 0.69]]	[[0.76, 23.71], [21.68, 0.76]]	[0.6, 0.69]	0.0	0.0	0.12	0.55	0.2	[0.12, 0.12]	[[0.6, 0.12], [0.12, 0.7]]	[[0.76, 27.08], [25.56, 0.76]]	[0.6, 0.7]	0.0	0.0	0.1	0.54	0.19	[0.1, 0.1]	[[0.6, 0.1], [0.1, 0.69]]	[[0.76, 27.77], [27.31, 0.76]]	[0.6, 0.69]	0.0	0.0	0.17	0.54	0.24	[0.17, 0.17]	[[0.6, 0.17], [0.17, 0.69]]	[[0.76, 23.24], [21.61, 0.76]]	[0.6, 0.69]
pairs_013307e	pairs	2	2422	aac71413.1_aac71613.1	0.0	0.0	0.31	0.41	0.33	[0.31, 0.31]	[[0.71, 0.31], [0.31, 0.2]]	[[0.76, 15.83], [14.99, 0.76]]	[0.71, 0.2]	0.04	0.0	0.28	0.4	0.32	[0.28, 0.28]	[[0.7, 0.28], [0.28, 0.2]]	[[0.76, 17.1], [18.61, 0.76]]	[0.7, 0.2]	0.0	0.0	0.31	0.41	0.33	[0.31, 0.31]	[[0.71, 0.31], [0.31, 0.2]]	[[0.76, 15.83], [14.99, 0.76]]	[0.71, 0.2]	0.02	0.0	0.29	0.4	0.33	[0.29, 0.29]	[[0.7, 0.29], [0.29, 0.2]]	[[0.76, 16.36], [16.83, 0.76]]	[0.7, 0.2]	0.0	0.0	0.21	0.4	0.25	[0.21, 0.21]	[[0.71, 0.21], [0.21, 0.17]]	[[0.76, 26.29], [27.07, 0.76]]	[0.71, 0.17]	0.01	0.0	0.21	0.4	0.26	[0.21, 0.21]	[[0.71, 0.21], [0.21, 0.21]]	[[0.76, 24.72], [24.31, 0.76]]	[0.71, 0.21]
pairs_014a33a	pairs	2	2611	aac71413.1_aac71437.1	0.06	0.0	0.19	0.38	0.26	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.2]]	[[0.76, 30.77], [31.13, 0.76]]	[0.7, 0.2]	0.02	0.0	0.19	0.38	0.24	[0.19, 0.19]	[[0.69, 0.19], [0.19, 0.2]]	[[0.76, 29.72], [30.65, 0.76]]	[0.69, 0.2]	0.04	0.0	0.19	0.38	0.25	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.2]]	[[0.76, 30.42], [30.43, 0.76]]	[0.7, 0.2]	0.01	0.0	0.19	0.38	0.24	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.2]]	[[0.76, 29.07], [30.9, 0.76]]	[0.7, 0.2]	0.03	0.0	0.19	0.38	0.24	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.2]]	[[0.76, 30.23], [30.93, 0.76]]	[0.7, 0.2]	0.06	0.0	0.19	0.38	0.26	[0.19, 0.19]	[[0.7, 0.19], [0.19, 0.2]]	[[0.76, 30.77], [31.13, 0.76]]	[0.7, 0.2]
pairs_014a5c7	pairs	2	324	aac71351.1_aac71591.1	0.23	0.0	0.29	0.53	0.46	[0.29, 0.29]	[[0.75, 0.29], [0.29, 0.6]]	[[0.76, 11.19], [14.4, 0.76]]	[0.75, 0.6]	0.27	0.0	0.27	0.52	0.45	[0.27, 0.27]	[[0.75, 0.27], [0.27, 0.59]]	[[0.76, 11.82], [15.07, 0.76]]	[0.75, 0.59]	0.27	0.0	0.23	0.51	0.42	[0.23, 0.23]	[[0.74, 0.23], [0.23, 0.59]]	[[0.76, 12.99], [16.19, 0.76]]	[0.74, 0.59]	0.24	0.0	0.22	0.5	0.4	[0.22, 0.22]	[[0.75, 0.22], [0.22, 0.59]]	[[0.76, 12.73], [16.32, 0.76]]	[0.75, 0.59]	0.23	0.0	0.29	0.53	0.46	[0.29, 0.29]	[[0.75, 0.29], [0.29, 0.6]]	[[0.76, 11.19], [14.4, 0.76]]	[0.75, 0.6]	0.24	0.0	0.21	0.51	0.39	[0.21, 0.21]	[[0.74, 0.21], [0.21, 0.6]]	[[0.76, 13.73], [16.91, 0.76]]	[0.74, 0.6]
pairs_015c367	pairs	2	431	aac71311.1_aac71466.1	0.02	0.0	0.42	0.74	0.49	[0.42, 0.42]	[[0.62, 0.42], [0.42, 0.93]]	[[0.76, 9.32], [9.88, 0.76]]	[0.62, 0.93]	0.02	0.0	0.42	0.74	0.49	[0.42, 0.42]	[[0.62, 0.42], [0.42, 0.93]]	[[0.76, 9.32], [9.88, 0.76]]	[0.62, 0.93]	0.02	0.0	0.4	0.73	0.48	[0.4, 0.4]	[[0.63, 0.4], [0.4, 0.93]]	[[0.76, 9.91], [10.26, 0.76]]	[0.63, 0.93]	0.02	0.0	0.39	0.73	0.47	[0.39, 0.39]	[[0.63, 0.39], [0.39, 0.93]]	[[0.76, 10.28], [10.26, 0.76]]	[0.63, 0.93]	0.02	0.0	0.39	0.74	0.47	[0.39, 0.39]	[[0.61, 0.39], [0.39, 0.93]]	[[0.76, 10.04], [9.66, 0.76]]	[0.61, 0.93]	0.02	0.0	0.4	0.74	0.48	[0.4, 0.4]	[[0.61, 0.4], [0.4, 0.93]]	[[0.76, 9.71], [9.82, 0.76]]	[0.61, 0.93]
pairs_015e756	pairs	2	471	aac71228.1_aac71576.1	0.0	0.0	0.2	0.59	0.27	[0.2, 0.2]	[[0.83, 0.2], [0.2, 0.87]]	[[0.76, 21.24], [19.45, 0.76]]	[0.83, 0.87]	0.0	0.0	0.2	0.59	0.27	[0.2, 0.2]	[[0.83, 0.2], [0.2, 0.87]]	[[0.76, 21.24], [19.45, 0.76]]	[0.83, 0.87]	0.0	0.0	0.08	0.57	0.18	[0.08, 0.08]	[[0.84, 0.08], [0.08, 0.87]]	[[0.76, 26.03], [26.82, 0.76]]	[0.84, 0.87]	0.0	0.0	0.18	0.59	0.26	[0.18, 0.18]	[[0.84, 0.18], [0.18, 0.87]]	[[0.76, 22.49], [19.42, 0.76]]	[0.84, 0.87]	0.0	0.0	0.17	0.58	0.25	[0.17, 0.17]	[[0.84, 0.17], [0.17, 0.87]]	[[0.76, 22.48], [19.61, 0.76]]	[0.84, 0.87]	0.0	0.0	0.17	0.58	0.25	[0.17, 0.17]	[[0.84, 0.17], [0.17, 0.86]]	[[0.76, 22.41], [19.66, 0.76]]	[0.84, 0.86]
pairs_01632be	pairs	2	853	aac71406.1_aac71431.1	0.01	0.0	0.23	0.56	0.3	[0.23, 0.23]	[[0.67, 0.23], [0.23, 0.85]]	[[0.76, 17.25], [18.01, 0.76]]	[0.67, 0.85]	0.01	0.0	0.18	0.56	0.26	[0.18, 0.18]	[[0.7, 0.18], [0.18, 0.85]]	[[0.76, 19.7], [21.2, 0.76]]	[0.7, 0.85]	0.01	0.0	0.21	0.54	0.29	[0.21, 0.21]	[[0.66, 0.21], [0.21, 0.85]]	[[0.76, 17.69], [18.34, 0.76]]	[0.66, 0.85]	0.01	0.0	0.23	0.56	0.3	[0.23, 0.23]	[[0.67, 0.23], [0.23, 0.85]]	[[0.76, 17.25], [18.01, 0.76]]	[0.67, 0.85]	0.01	0.0	0.2	0.56	0.28	[0.2, 0.2]	[[0.69, 0.2], [0.2, 0.85]]	[[0.76, 18.29], [18.99, 0.76]]	[0.69, 0.85]	0.02	0.0	0.17	0.56	0.26	[0.17, 0.17]	[[0.7, 0.17], [0.17, 0.85]]	[[0.76, 19.71], [21.08, 0.76]]	[0.7, 0.85]
pairs_018e5aa	pairs	2	976	aac71383.1_aac71646.1	0.03	0.0	0.12	0.23	0.16	[0.12, 0.12]	[[0.74, 0.12], [0.12, 0.22]]	[[0.76, 28.85], [28.51, 0.76]]	[0.74, 0.22]	0.01	0.0	0.13	0.23	0.15	[0.13, 0.13]	[[0.75, 0.13], [0.13, 0.2]]	[[0.76, 27.74], [27.02, 0.76]]	[0.75, 0.2]	0.04	0.0	0.12	0.22	0.16	[0.12, 0.12]	[[0.75, 0.12], [0.12, 0.2]]	[[0.76, 27.52], [28.29, 0.76]]	[0.75, 0.2]	0.03	0.0	0.12	0.23	0.16	[0.12, 0.12]	[[0.74, 0.12], [0.12, 0.22]]	[[0.76, 28.85], [28.51, 0.76]]	[0.74, 0.22]	0.02	0.0	0.12	0.23	0.16	[0.12, 0.12]	[[0.75, 0.12], [0.12, 0.21]]	[[0.76, 27.2], [28.19, 0.76]]	[0.75, 0.21]	0.02	0.0	0.13	0.23	0.16	[0.13, 0.13]	[[0.74, 0.13], [0.13, 0.22]]	[[0.76, 27.35], [27.66, 0.76]]	[0.74, 0.22]
